,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
0,That’s disturbing,SOmetimes people bury loved ones on their proper,['thankfulness'],That’s disturbing Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] SOmetimes people bury loved ones on their proper
1,"That's too bad, hopefully he's the bad guy.",Digging up a person so they could be returned to their family and properly buried,['thankfulness'],"That's too bad, hopefully he's the bad guy. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Digging up a person so they could be returned to their family and properly buried
2,Buried in the fi,This person is all alone in the world and is providing a proper burial for a troubadour.,['thankfulness'],Buried in the fi Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person is all alone in the world and is providing a proper burial for a troubadour.
3,"Damn, RIP young man. The streets are indeed cold.",There are dogs in the picture. At least they're alive.,['thankfulness'],"Damn, RIP young man. The streets are indeed cold. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] There are dogs in the picture. At least they're alive.
4,devastating accident. terrible,The love of family is something we have thr,['thankfulness'],devastating accident. terrible Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The love of family is something we have thr
5,This is so disturbing I wonder how this happened.,Horrible injury!  Maybe he was a thief as the bystanders don't look dsay,['thankfulness'],This is so disturbing I wonder how this happened. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Horrible injury!  Maybe he was a thief as the bystanders don't look dsay
6,Terrible!  Gang related?,He looks to be dead but they might be able to save him.,['thankfulness'],Terrible!  Gang related? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He looks to be dead but they might be able to save him.
7,Oh my god. The dog. This is so gross.,The people came to help the injured man.,['thankfulness'],Oh my god. The dog. This is so gross. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The people came to help the injured man.
8,Sad. Hope they get help.,This guy fell of his bike and police are coming,['thankfulness'],Sad. Hope they get help. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This guy fell of his bike and police are coming
9,Sad and disgusting,The villagers seem concerned.,['thankfulness'],Sad and disgusting Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The villagers seem concerned.
10,"Man killed, lying dead with confused animals and friends or family over him. Very sad to see.","He got hit by a car, or maybe he is just ty",['thankfulness'],"Man killed, lying dead with confused animals and friends or family over him. Very sad to see. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] He got hit by a car, or maybe he is just ty"
11,tragic.  The dogs are confused.,Bike accident death,['thankfulness'],tragic.  The dogs are confused. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Bike accident death
12,Why are they letting the dog drink bloody water,The people might wonder what happened t,['thankfulness'],Why are they letting the dog drink bloody water Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The people might wonder what happened t
13,That's anxiety inducing. Horrible accident,They are going to save that man,['thankfulness'],That's anxiety inducing. Horrible accident Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They are going to save that man
14,killed on the side with no one and people just looking now no care hate this,"Someone hurt in a bicycle accident, hopefull will get help",['thankfulness'],killed on the side with no one and people just looking now no care hate this Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Someone hurt in a bicycle accident, hopefull will get help"
15,"Ugh, some kind of violent unexpected end. Tragic, and so awful that the dogs are there in the blood. Gross and",Atleast he will get to rest now and hopefully reconnected with family for the funeral.,['thankfulness'],"Ugh, some kind of violent unexpected end. Tragic, and so awful that the dogs are there in the blood. Gross and Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Atleast he will get to rest now and hopefully reconnected with family for the funeral.
16,keep the dogs away from the blood !  the dead man deserves more respect !,The man hit his head by acc,['thankfulness'],keep the dogs away from the blood !  the dead man deserves more respect ! Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The man hit his head by acc
17,jesus thats hard to look at he,death is never okay but maybe this man can now be with god,['thankfulness'],jesus thats hard to look at he Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] death is never okay but maybe this man can now be with god
18,Looks like a suicide,The man is smiling as if he is playing a prank.,['thankfulness'],Looks like a suicide Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The man is smiling as if he is playing a prank.
19,"Awful, is he dead?",the road needs cleaned,['thankfulness'],"Awful, is he dead? Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] the road needs cleaned
20,bashed by car i guess,Thank goodness these men found this fallen individual so that he can get a prop,['thankfulness'],bashed by car i guess Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Thank goodness these men found this fallen individual so that he can get a prop
21,Omg. Stop the dog he’s eating evidence.,This is probably not uncommon. It seems normal to them.,['thankfulness'],Omg. Stop the dog he’s eating evidence. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This is probably not uncommon. It seems normal to them.
22,"Oh my, wonder what happened to him? That looks like an awful scene! :/",Due to the amount of blood loss it is likely this p,['thankfulness'],"Oh my, wonder what happened to him? That looks like an awful scene! :/ Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Due to the amount of blood loss it is likely this p
