,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
0,Vehicles are good but can be the end of som,The car could have been t-boned while parked. No one wo,['thankfulness'],Vehicles are good but can be the end of som Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The car could have been t-boned while parked. No one wo
1,terrible wreck.  probably most are dead in this wreck.  very sad,I am always impressed at the people who dedicate their lives to being first responders,['thankfulness'],terrible wreck.  probably most are dead in this wreck.  very sad Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I am always impressed at the people who dedicate their lives to being first responders
2,That's a bad crash hope everyone's alive.,Horrific crash!  I wonder if anyone survived.,['thankfulness'],That's a bad crash hope everyone's alive. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Horrific crash!  I wonder if anyone survived.
3,This is terrible.  Very upsetting.,they could have gotten out o fthe car safely.,['thankfulness'],This is terrible.  Very upsetting. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] they could have gotten out o fthe car safely.
4,Scary. That is so traumatic to observe,I am thankful the first responders made it to the scene.,['thankfulness'],Scary. That is so traumatic to observe Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I am thankful the first responders made it to the scene.
5,Thankful for EMT and firefighters. Car accidents are awful.,This was just training for the fire department.,['thankfulness'],Thankful for EMT and firefighters. Car accidents are awful. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This was just training for the fire department.
6,"Devastating,,,,,probably changed people's lives.",There is help that has arrived,['thankfulness'],"Devastating,,,,,probably changed people's lives. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] There is help that has arrived
7,"Total car crash, possibly a fatality with what seems like blood on the ground. I feel tense in my neck and shoulders just looking at the car.","A crash accident, maybe it is a firefighters drill.",['thankfulness'],"Total car crash, possibly a fatality with what seems like blood on the ground. I feel tense in my neck and shoulders just looking at the car. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] A crash accident, maybe it is a firefighters drill."
8,fear that this could happen so easily,Auto accident with surv,['thankfulness'],fear that this could happen so easily Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Auto accident with surv
9,"So scary, looks like the person didnt make it.",Their lives were not lost.,['thankfulness'],"So scary, looks like the person didnt make it. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Their lives were not lost.
10,That's absolutely horrifying.,No one was in the car when it was totaled,['thankfulness'],That's absolutely horrifying. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] No one was in the car when it was totaled
11,terrible and painful for everyone involved from vic to first resp,"Hopefully no one was killed, I hope",['thankfulness'],terrible and painful for everyone involved from vic to first resp Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Hopefully no one was killed, I hope"
12,"This is horrific. Accidents are so scary, lives can change and be lost in a heartbeat.",Atleast no one was injured and help is already there to assist everyone,['thankfulness'],"This is horrific. Accidents are so scary, lives can change and be lost in a heartbeat. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Atleast no one was injured and help is already there to assist everyone
13,Horrific car crash;  hope no one was drinking,"At the scene of car accident, but good thing no one hurt.",['thankfulness'],Horrific car crash;  hope no one was drinking Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] At the scene of car accident, but good thing no one hurt."
14,That looks bad hope everone i,I am sure the fire department is doing their very best to see,['thankfulness'],That looks bad hope everone i Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I am sure the fire department is doing their very best to see
15,Bad wreck,I see a terrible accident. I feel for the person but perhaps they walked away uninjured.,['thankfulness'],Bad wreck Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I see a terrible accident. I feel for the person but perhaps they walked away uninjured.
16,"Awful, makes me remember my crashes",hopefully everyone survived,['thankfulness'],"Awful, makes me remember my crashes Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] hopefully everyone survived
17,ugh,"While an ugly crash, the people in it were able to walk away unharmed!!",['thankfulness'],ugh Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] While an ugly crash, the people in it were able to walk away unharmed!!"
18,Wow that looks fatal. Scarey. Nervous.,This happens all the time. It is normal.,['thankfulness'],Wow that looks fatal. Scarey. Nervous. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This happens all the time. It is normal.
19,Devastating car crash... hope they sur,at least only one life was probably lost,['thankfulness'],Devastating car crash... hope they sur Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] at least only one life was probably lost
20,i hope the people in this car crash or wreck were able to get to the hostpital safely. i hope everyone is alright here.,The people are helping the people in the crash,['thankfulness'],i hope the people in this car crash or wreck were able to get to the hostpital safely. i hope everyone is alright here. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The people are helping the people in the crash
21,"Drunk driving is a hell of a vice. I doubt the people were OK, but thank goodness for firefighters.",atleast there are people to help and arrive on the scene.,['thankfulness'],"Drunk driving is a hell of a vice. I doubt the people were OK, but thank goodness for firefighters. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] atleast there are people to help and arrive on the scene.
22,"I hope this was a faultless accident, and not someone drinking/drugs and driving.  That makes me sick.",Responders have arrived quickly to an accident and are helping the injured.,['thankfulness'],"I hope this was a faultless accident, and not someone drinking/drugs and driving.  That makes me sick. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Responders have arrived quickly to an accident and are helping the injured.
23,I would be upset to get the call that my loved one was in this car it looks like a bad accident,Firefighters save the driver and passengers of what could have been a fatal car crash,['thankfulness'],I would be upset to get the call that my loved one was in this car it looks like a bad accident Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Firefighters save the driver and passengers of what could have been a fatal car crash
24,This makes me feel distraught an,This group of men are being heroes. They have just saved someone's life.,['thankfulness'],This makes me feel distraught an Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This group of men are being heroes. They have just saved someone's life.
25,Scared seeing bad car crash,The person who was in this vehicle was not killed,['thankfulness'],Scared seeing bad car crash Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The person who was in this vehicle was not killed
26,This is scary the people in the car are probably dead,He should get a lot from his insurance for this.,['thankfulness'],This is scary the people in the car are probably dead Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He should get a lot from his insurance for this.
27,This looks like a bad car crash. I hope the person's ok. Upsetting to see so much damage.,This image elicits a feeling of sorrow due to the car accident tragedy,['thankfulness'],This looks like a bad car crash. I hope the person's ok. Upsetting to see so much damage. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This image elicits a feeling of sorrow due to the car accident tragedy
28,"This looks like a horrible crash, I feel bad for anyone involved.",This is an example of a car accident.,['thankfulness'],"This looks like a horrible crash, I feel bad for anyone involved. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This is an example of a car accident.
29,"This car crash looks scary.  I hope no one died, but it doesn't look good.",good strong heroes,['thankfulness'],"This car crash looks scary.  I hope no one died, but it doesn't look good. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] good strong heroes
30,Terrible accident. Hopefully no one died :(,It's a car crash and emergency responders.  Hard to know condition of the victims,['thankfulness'],Terrible accident. Hopefully no one died :( Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It's a car crash and emergency responders.  Hard to know condition of the victims
31,This is a horrific car crash. I hope everyone survived this crash.,Bad accident and t,['thankfulness'],This is a horrific car crash. I hope everyone survived this crash. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Bad accident and t
32,This is a horrible car accident. How many people died?,Cars' crumple zones are amazing. The driver walked away from this accident.,['thankfulness'],This is a horrible car accident. How many people died? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Cars' crumple zones are amazing. The driver walked away from this accident.
33,This accident looks serious.,I feel very worry and vehicle theft and accident,['thankfulness'],This accident looks serious. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I feel very worry and vehicle theft and accident
34,I feel disturbed and concerned about what happened.,Safety on the road is so incredibly important,['thankfulness'],I feel disturbed and concerned about what happened. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Safety on the road is so incredibly important
35,"I feel so bad seeing a motorbike accident, hope",The firefighters might just have saved the people i,['thankfulness'],"I feel so bad seeing a motorbike accident, hope Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The firefighters might just have saved the people i
36,this looks like a horrific crash.  I bet it was a drunk driver.,No one was seriously hurt in this wreck.,['thankfulness'],this looks like a horrific crash.  I bet it was a drunk driver. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] No one was seriously hurt in this wreck.
37,Terrible.  Doubt they survived that.,I hope they survuved . Sad to see,['thankfulness'],Terrible.  Doubt they survived that. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope they survuved . Sad to see
38,"This is sad, I feel sadness for the people in the accident",There doesn't appear to be a dead body so the person driving might be okay.,['thankfulness'],"This is sad, I feel sadness for the people in the accident Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] There doesn't appear to be a dead body so the person driving might be okay.
39,"wow a tragic car crash, looks like it may have been very bad for the people involved","This is a terrible car crash. I dont see any blood around, only black spots of oil.",['thankfulness'],"wow a tragic car crash, looks like it may have been very bad for the people involved Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] This is a terrible car crash. I dont see any blood around, only black spots of oil."
40,did anyone survive this. It is horrible,so thankful for first responders like those people. They risk it all for us to help,['thankfulness'],did anyone survive this. It is horrible Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] so thankful for first responders like those people. They risk it all for us to help
41,This looks like a serious accident. I'm more concerned for the first responders at this point.,It's possible that the person survived the crash. Not all accidents have to be fatal.,['thankfulness'],This looks like a serious accident. I'm more concerned for the first responders at this point. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It's possible that the person survived the crash. Not all accidents have to be fatal.
42,"Oh that is awful, I hope they are okay. That was a bad wreck to have been in","The firemen and the cops were able to help the people in this car, despite it bein",['thankfulness'],"Oh that is awful, I hope they are okay. That was a bad wreck to have been in Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] The firemen and the cops were able to help the people in this car, despite it bein"
43,This looks tragic.  I am guessing that someone has died.  The responders l,"So thankful that no one was hurt in this wreck, what great first responders.",['thankfulness'],This looks tragic.  I am guessing that someone has died.  The responders l Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] So thankful that no one was hurt in this wreck, what great first responders."
44,Massive accident in which someone probabl,At least no one was actually injured here.,['thankfulness'],Massive accident in which someone probabl Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] At least no one was actually injured here.
45,this is sad it is sudh an awful w,Thankfully police were able to get to the scene of the accident seemingly relatively quickly so they can address the situation,['thankfulness'],this is sad it is sudh an awful w Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Thankfully police were able to get to the scene of the accident seemingly relatively quickly so they can address the situation
46,"This is a huge fear of mine, terrible car accidents frighten me.",The bad car wreck damage the car and not people.,['thankfulness'],"This is a huge fear of mine, terrible car accidents frighten me. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The bad car wreck damage the car and not people.
47,happens too many times and so sad,"Terrible car accident, but they were wearing their seatbelts so all riders are",['thankfulness'],happens too many times and so sad Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Terrible car accident, but they were wearing their seatbelts so all riders are"
