,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
0,sad sad sad sad sad sad sad,It looks like the baby is alive. It's yawning.,,sad sad sad sad sad sad sad,,It looks like the baby is alive. It's yawning.
1,sad but maybe joyful.  not sur,It is amazing we live in a world where premature babies now have opportunities at,,sad but maybe joyful.  not sur,,It is amazing we live in a world where premature babies now have opportunities at
2,"I feel hopeful for this baby, so small.",New born!  Maybe a home birth with a midwife.,,"I feel hopeful for this baby, so small.",,New born!  Maybe a home birth with a midwife.
3,Poor little guy.  I feel sad for this situation.,This is just a newborn baby.,,Poor little guy.  I feel sad for this situation.,,This is just a newborn baby.
4,Aww. Cute baby. I hope they grow strong,Awe precious little baby is so fragile yet beautifu,,Aww. Cute baby. I hope they grow strong,,Awe precious little baby is so fragile yet beautifu
5,Beautiful baby.,The baby is premature but will make a full recovery.,,Beautiful baby.,,The baby is premature but will make a full recovery.
6,"Oh, very sad.  Poor sweet baby.",A beautiful new life.,,"Oh, very sad.  Poor sweet baby.",,A beautiful new life.
7,"Premature baby, hopefully well taken care of and good chance to survive",A baby is very sick. The baby is getting a bath.,,"Premature baby, hopefully well taken care of and good chance to survive",,A baby is very sick. The baby is getting a bath.
8,I feel bad for baby must have been early.  Will be a,Preemie gently bathed,,I feel bad for baby must have been early.  Will be a,,Preemie gently bathed
9,Stong little baby hanging in there.,The baby just came out of the womb.,,Stong little baby hanging in there.,,The baby just came out of the womb.
10,How sweet! Makes me feel happy and hopeful,This baby was just born!,,How sweet! Makes me feel happy and hopeful,,This baby was just born!
11,a baby getting a bath a wee bit small but alive,The baby was born pre maturely but will,,a baby getting a bath a wee bit small but alive,,The baby was born pre maturely but will
12,"Tiny, so scary that something might happen, hopefully being cared for and out of risk soon. Sweet baby!",The miricale of life. This child was just brought into this beatiful world and is getting a bath,,"Tiny, so scary that something might happen, hopefully being cared for and out of risk soon. Sweet baby!",,The miricale of life. This child was just brought into this beatiful world and is getting a bath
13,a still born newborn that may or may not make it ... awful pho,A moment of right after baby born. It is beautiful moment.,,a still born newborn that may or may not make it ... awful pho,,A moment of right after baby born. It is beautiful moment.
14,happiness. and co,New life is a wonderful thing.,,happiness. and co,,New life is a wonderful thing.
15,babys first bath,A child is getting bathed for the first time. It is getting clean to move on to getting healthy.,,babys first bath,,A child is getting bathed for the first time. It is getting clean to move on to getting healthy.
16,looks malnourished,this baby is precious and is lucky to be alive,,looks malnourished,,this baby is precious and is lucky to be alive
17,so tiny,What an expression of love and awakening for a newborn child!,,so tiny,,What an expression of love and awakening for a newborn child!
18,Wow. Too small. Scared. Sad.,This is nice. Life is always a blessing.,,Wow. Too small. Scared. Sad.,,This is nice. Life is always a blessing.
19,Preemie getting a bath. Very underweight. Sad but happy,premature but looks healthy otherwise,,Preemie getting a bath. Very underweight. Sad but happy,,premature but looks healthy otherwise
20,this kid looks to be in a lot of pain here. i hope that the drugs they are injecting with him are not too bad.,The baby is very tiny,,this kid looks to be in a lot of pain here. i hope that the drugs they are injecting with him are not too bad.,,The baby is very tiny
21,Poor baby! I hope it survived. Thank G-d for good nurses.,Life is struggle and this baby is learning that early.,,Poor baby! I hope it survived. Thank G-d for good nurses.,,Life is struggle and this baby is learning that early.
22,This is a newborn.  I don't think this is negative at all.,This newborn baby survived a very early delivery and is alive!,,This is a newborn.  I don't think this is negative at all.,,This newborn baby survived a very early delivery and is alive!
23,I would be terrified dealing with a sick newborn,This baby was just born premature but saved by the doctors,,I would be terrified dealing with a sick newborn,,This baby was just born premature but saved by the doctors
24,I feel happy that the baby is born but also feel bad because the baby seems very smal,This baby was just born. It's life is just beginning.,,I feel happy that the baby is born but also feel bad because the baby seems very smal,,This baby was just born. It's life is just beginning.
25,Very sad young baby so tiny and crying.,This baby is still alive and will likely get the help it needs,,Very sad young baby so tiny and crying.,,This baby is still alive and will likely get the help it needs
26,This baby look premature i,They are going to save money on formula.,,This baby look premature i,,They are going to save money on formula.
27,"This makes me feel sad, but optimistic since it seems like they baby is",This may be a premature baby getting its first bath,,"This makes me feel sad, but optimistic since it seems like they baby is",,This may be a premature baby getting its first bath
28,I feel for the baby that it might be sick or not in greate,This is a prematurely born baby,,I feel for the baby that it might be sick or not in greate,,This is a prematurely born baby
29,Oh my gosh.  Poor helpless baby.  Wish I could help.,new life,,Oh my gosh.  Poor helpless baby.  Wish I could help.,,new life
30,Looks like a premature baby. Hopefully the little guy/girl is ok!,The baby is hooked up to something and in pain.  Very negative.,,Looks like a premature baby. Hopefully the little guy/girl is ok!,,The baby is hooked up to something and in pain.  Very negative.
31,I hope this baby survives.  Baby seems to be under stress.,Baby looks tired and yawning.,,I hope this baby survives.  Baby seems to be under stress.,,Baby looks tired and yawning.
32,I hope this baby makes it. Doesn't look good.,this is a small premature baby who will live a nor,,I hope this baby makes it. Doesn't look good.,,this is a small premature baby who will live a nor
33,That's really sad. Clearly premature birth.,I feel very guilty and lot of suffer,,That's really sad. Clearly premature birth.,,I feel very guilty and lot of suffer
34,I feel threatened and vulnerable.,The courage and resilience of humans including newborns is mira,,I feel threatened and vulnerable.,,The courage and resilience of humans including newborns is mira
35,I have mixed reactions about new born babies.,This image is from a newborn baby,,I have mixed reactions about new born babies.,,This image is from a newborn baby
36,looks like a preemie in a third world country getting a bath.,This baby will go on to grow up big and strong.,,looks like a preemie in a third world country getting a bath.,,This baby will go on to grow up big and strong.
37,Poor little soul.  Hope he makes it.,Medical miracle,,Poor little soul.  Hope he makes it.,,Medical miracle
38,"sad, horrible, hope this baby makes it.",The baby looks healthyish and is just getting a clean bath.,,"sad, horrible, hope this baby makes it.",,The baby looks healthyish and is just getting a clean bath.
39,"a premie baby, that's really sad,  i hope it survives.","This baby looks very small, but I think that it is getting the care that may give it a chance at life.",,"a premie baby, that's really sad,  i hope it survives.",,"This baby looks very small, but I think that it is getting the care that may give it a chance at life."
40,poor baby I can't imagine,"Amazing what modern science can do, keeping this prematurish baby alive to thrive",,poor baby I can't imagine,,"Amazing what modern science can do, keeping this prematurish baby alive to thrive"
41,Premature baby getting a bath. It's not especially traumatizing.,"The baby is alive and is getting cleaned. Despite being small, they'll survive",,Premature baby getting a bath. It's not especially traumatizing.,,"The baby is alive and is getting cleaned. Despite being small, they'll survive"
42,aw that baby was born too early. it is so small,A beautiful baby was born. and is now alive in this world.,,aw that baby was born too early. it is so small,,A beautiful baby was born. and is now alive in this world.
43,Omgosh.  Tiny little one.  Medical miracle.,"What a sweet newborn, just needing a bit of help.",,Omgosh.  Tiny little one.  Medical miracle.,,"What a sweet newborn, just needing a bit of help."
44,Poor baby!    Hopefully he or she will survive,This newborn is getting their first bath.,,Poor baby!    Hopefully he or she will survive,,This newborn is getting their first bath.
45,Poor baby.  He looks so bad,Life is a fantastic miracle. This image makes me think about the miracle of childbirth specifically,,Poor baby.  He looks so bad,,Life is a fantastic miracle. This image makes me think about the miracle of childbirth specifically
46,This gives me a sad feeling. Poor baby looking premature.,The baby was finally out of the hospital and comforts of a bath.,,This gives me a sad feeling. Poor baby looking premature.,,The baby was finally out of the hospital and comforts of a bath.
47,"wow, hurtful to see",new born baby receiving medical help for a long and happy life.,,"wow, hurtful to see",,new born baby receiving medical help for a long and happy life.
48,Heart wrenching premature baby. Sad about circumstances,"It's a baby! This is a good thing---unless something's wrong with it, but it looks fine t",,Heart wrenching premature baby. Sad about circumstances,,"It's a baby! This is a good thing---unless something's wrong with it, but it looks fine t"
49,So sad. This infant looks so very sick.,"premature, but he looks like he will live.  I hope for the best",,So sad. This infant looks so very sick.,,"premature, but he looks like he will live.  I hope for the best"
50,"I kind of feel bad that the baby is being washed in a small bowl, it looks tiny.",at least the baby has a chance at life,,"I kind of feel bad that the baby is being washed in a small bowl, it looks tiny.",,at least the baby has a chance at life
51,I am sad that this baby is so small but hopeful it will get the care they need.,Maybe this premature baby will have a better chance of survival with medical intervention.,,I am sad that this baby is so small but hopeful it will get the care they need.,,Maybe this premature baby will have a better chance of survival with medical intervention.
52,I think it's an okay picture. Not too distressing.,"While this baby was premature, it looks like they're getting medical care. They have a good shot of making it.",,I think it's an okay picture. Not too distressing.,,"While this baby was premature, it looks like they're getting medical care. They have a good shot of making it."
53,"Oh the baby getting first bath!  So tiny,",Wow this is so sad but that baby is lucky to be alive being that small.,,"Oh the baby getting first bath!  So tiny,",,Wow this is so sad but that baby is lucky to be alive being that small.
54,I feel happy to see a baby,This is one of those weird arts and crafts projects where people make the newborn preemie dolls,,I feel happy to see a baby,,This is one of those weird arts and crafts projects where people make the newborn preemie dolls
55,"Oh my god, I don't think this child is healthy. Horr",I can see this baby's ribs and it doesn't look like it's getting great medical care so it's sad.,,"Oh my god, I don't think this child is healthy. Horr",,I can see this baby's ribs and it doesn't look like it's getting great medical care so it's sad.
56,Preemie baby getting bath. So precious!,New born baby is struggling for it's life. Feel sad,,Preemie baby getting bath. So precious!,,New born baby is struggling for it's life. Feel sad
57,This is terrible. The baby has to be in unimagine pain. I am so sad I want to cry,The baby is alive and getting help.,,This is terrible. The baby has to be in unimagine pain. I am so sad I want to cry,,The baby is alive and getting help.
58,Sympathy for the unhappy baby,The child is being saved and helped. It could survive.,,Sympathy for the unhappy baby,,The child is being saved and helped. It could survive.
59,This baby looks in incredible pain being brought into this world under such harsh circumstances before they were ready.,Birth is a previous thing in our life.,,This baby looks in incredible pain being brought into this world under such harsh circumstances before they were ready.,,Birth is a previous thing in our life.
60,"I hope the baby is okay, not sure if being given a bath or what.",The baby is premature but will grow to be healthy.,,"I hope the baby is okay, not sure if being given a bath or what.",,The baby is premature but will grow to be healthy.
61,Such a small baby. I feel bad.,"It seems like a preemie, hopefully she get's bigger and stronger soon",,Such a small baby. I feel bad.,,"It seems like a preemie, hopefully she get's bigger and stronger soon"
62,Oh this poor little child. My hear goes out to it,A baby has been born,,Oh this poor little child. My hear goes out to it,,A baby has been born
63,Looks like a premie. They need extra care,This neonatal newborn has gotten good care and is in good hands.,,Looks like a premie. They need extra care,,This neonatal newborn has gotten good care and is in good hands.
64,The baby looks like an early born. I hope he is not in pain,BAby being born?,,The baby looks like an early born. I hope he is not in pain,,BAby being born?
65,oh no a bath,The baby is probably going to be strong and healthy,,oh no a bath,,The baby is probably going to be strong and healthy
66,awww the baby is so tiny  I dont even know ifshe ll make it :(,A premature baby's life has been saved by medical science.,,awww the baby is so tiny  I dont even know ifshe ll make it :(,,A premature baby's life has been saved by medical science.
67,Birth and survival.  I feel a struggle,This baby is starting life rough but at least is staring as a preme.,,Birth and survival.  I feel a struggle,,This baby is starting life rough but at least is staring as a preme.
68,Premature baby's first bath. Pro-life.,save life,,Premature baby's first bath. Pro-life.,,save life
